id,name,price,category
1,ABSOLUTE BATMAN #6,4.99,New Comics
2,ABSOLUTE FLASH #1,4.99,New Comics
3,ADVENTUREMAN FAMILY TREE #1 (OF 3),3.99,New Comics
4,AVENGERS #24 ,3.99,New Comics
5,BATMAN & ROBIN YEAR ONE #6 (OF 12,3.99,New Comics
6,BATMAN #613 FACSIMILE EDITION,3.99,New Comics
7,BATMAN SUPERMAN WORLDS FINEST #37,3.99,New Comics
8,CABLE LOVE AND CHROME #3 ,3.99,New Comics
9,CATWOMAN #74,3.99,New Comics
10,CHALLENGERS OF THE UNKNOWN #4 (OF 6),3.99,New Comics
11,DAREDEVIL UNLEASH HELL - RED BAND #3,4.99,New Comics
12,DC X SONIC THE HEDGEHOG #1 (OF 5),3.99,New Comics
13,DEADLY TALES OF THE GUNSLINGER SPAWN #4,2.99,New Comics
14,DEADPOOL WOLVERINE #3 ,3.99,New Comics
15,DETECTIVE COMICS #1095,4.99,New Comics
16,DEVIANT #9 (OF 9),3.99,New Comics
17,DICK TRACY #8,4.99,New Comics
18,EC EPITAPHS FROM THE ABYSS #9 (OF 12),4.99,New Comics
19,EDDIE BROCK CARNAGE #2 ,3.99,New Comics
20,EXCEPTIONAL X-MEN #7 ,3.99,New Comics
21,FANTASTIC FOUR #3 FACSIMILE EDITION ,4.99,New Comics
22,GI JOE #5,3.99,New Comics
23,MAGIK #3 ,3.99,New Comics
24,MILES MORALES SPIDER-MAN #31,3.99,New Comics
25,NEW CHAMPIONS #3 ,3.99,New Comics
26,NEW GODS #4 (OF 12),3.99,New Comics
27,NIGHTWING #124,4.99,New Comics
28,OUT OF ALCATRAZ #1 (OF 5),5.99,New Comics
29,POWER FANTASY #7,3.99,New Comics
30,PSYLOCKE #5 ,3.99,New Comics
31,QUESTION ALL ALONG THE WATCHTOWER #5 (OF 6),3.99,New Comics
32,SACRIFICERS #15,3.99,New Comics
33,SAGA #72 ,3.99,New Comics
34,SAM WILSON CAPTAIN AMERICA #3 ,3.99,New Comics
35,SONIC THE HEDGEHOG #77,3.99,New Comics
36,STAR WARS THE HIGH REPUBLIC ADVENTURES PHASE III #16,3.99,New Comics
37,SUPERMAN THE LAST DAYS OF LEX LUTHOR #2 (OF 3),6.99,New Comics
38,TEENAGE MUTANT NINJA TURTLES MUTANT NATION #5,5.99,New Comics
39,THE SERPENT IN THE GARDEN ED GREY AND THE LAST BATTLE FOR ENGLAND #3,3.99,New Comics
40,THOSE NOT AFRAID #3,3.99,New Comics
41,TITANS #21,3.99,New Comics
42,ULTIMATE BLACK PANTHER #14 ,4.99,New Comics
43,ULTIMATE X-MEN #13 ,4.99,New Comics
44,WALKING DEAD DELUXE #109,3.99,New Comics
45,WEREWOLF BY NIGHT RED BAND #8,4.99,New Comics
46,X-FORCE #9,3.99,New Comics
47,ZATANNA #2 (OF 6),3.99,New Comics
48,BATMAN CATWOMAN TP ,24.99,Graphic  Novels/ Trade Paperbacks
49,BERSERK VOLUME 42,14.99,Graphic  Novels/ Trade Paperbacks
50,CREEPSHOW TP VOL 03 ,14.99,Graphic  Novels/ Trade Paperbacks
51,CRIMINAL TP VOL 04 BAD NIGHT NEW PRINTING ,16.99,Graphic  Novels/ Trade Paperbacks
52,DAREDEVIL WOMAN WITHOUT FEAR TP VOL 01,17.99,Graphic  Novels/ Trade Paperbacks
53,DARK FAIRY TALES TP,18.00,Graphic  Novels/ Trade Paperbacks
54,DARK KNIGHTS OF STEEL ALLWINTER HC,29.99,Graphic  Novels/ Trade Paperbacks
55,DISNEY MANGA STITCH VOLUME 1,10.99,Graphic  Novels/ Trade Paperbacks
56,DOGMATIX & THE INDOMITABLES TP VOL 02 ROMANS GO TO THE DOGS,7.99,Graphic  Novels/ Trade Paperbacks
57,DOOM TREASURY EDITION TP,29.99,Graphic  Novels/ Trade Paperbacks
58,LAST ELF TP VOL 01,13.99,Graphic  Novels/ Trade Paperbacks
59,PLASTIC DEATH & DOLLS TP ,16.99,Graphic  Novels/ Trade Paperbacks
60,ULTIMATE SPIDER-MAN EPIC COLLECTION LEARNING CURVE TP,39.99,Graphic  Novels/ Trade Paperbacks
61,ULTIMATE SPIDER-MAN TP VOL 02,19.99,Graphic  Novels/ Trade Paperbacks
62,WALT DISNEYS DONALD DUCK HC MAGIC AND MAYHEM,19.99,Graphic  Novels/ Trade Paperbacks
63,ZATANNA BRING DOWN THE HOUSE HC ,29.99,Graphic  Novels/ Trade Paperbacks
